container_id,container_name,item_name,grade,image_url,local_image_path,width,height,current_price,sample_draws,occurrences,draw_hits,occurrences_per_draw,draw_hit_rate
dyx,弹药箱,12 Gauge独头 GT,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12-Gauge.png,data/containers/images/loot/2_12_Gauge独头_GT.png,1,1,65,100,37,30,0.37,0.3
dyx,弹药箱,7.62x39mm LP,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/7.62x39.png,data/containers/images/loot/1_7.62x39mm_LP.png,1,1,43,100,19,17,0.19,0.17
dyx,弹药箱,9x19mm PSO,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/9x19.png,data/containers/images/loot/1_9x19mm_PSO.png,1,1,32,100,19,16,0.19,0.16
dyx,弹药箱,.45 ACP HS,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/45-ACP.png,data/containers/images/loot/1_.45_ACP_HS.png,1,1,43,100,18,17,0.18,0.17
dyx,弹药箱,5.45x39mm PRS,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.45x39.png,data/containers/images/loot/1_5.45x39mm_PRS.png,1,1,40,100,17,17,0.17,0.17
dyx,弹药箱,5.7x28mm SS198LF,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.7x28.png,data/containers/images/loot/1_5.7x28mm_SS198LF.png,1,1,38,100,14,13,0.14,0.13
dyx,弹药箱,12 Gauge 7毫米鹿弹,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12-Gauge.png,data/containers/images/loot/1_12_Gauge_7毫米鹿弹.png,1,1,23,100,14,14,0.14,0.14
dyx,弹药箱,12 Gauge 8.5毫米鹿弹,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12-Gauge.png,data/containers/images/loot/3_12_Gauge_8.5毫米鹿弹.png,1,1,378,100,13,13,0.13,0.13
dyx,弹药箱,5.56x45mm RRLP,1,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.56x45mm.png,data/containers/images/loot/1_5.56x45mm_RRLP.png,1,1,35,100,12,12,0.12,0.12
dyx,弹药箱,12 Gauge独头 RIP,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12-Gauge.png,data/containers/images/loot/2_12_Gauge独头_RIP.png,1,1,133,100,12,12,0.12,0.12
dyx,弹药箱,9x19mm Pst,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/9x19.png,data/containers/images/loot/2_9x19mm_Pst.png,1,1,85,100,8,8,0.08,0.08
dyx,弹药箱,5.56x45mm FMJ,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.56x45mm.png,data/containers/images/loot/2_5.56x45mm_FMJ.png,1,1,79,100,6,5,0.06,0.05
dyx,弹药箱,电动车电池,4,https://playerhub.df.qq.com/playerhub/60004/object/15040040007.png,data/containers/images/loot/4_电动车电池.png,3,2,85578,100,4,4,0.04,0.04
dyx,弹药箱,5.8x42mm DVP88,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.8x42.png,data/containers/images/loot/3_5.8x42mm_DVP88.png,1,1,568,100,4,4,0.04,0.04
dyx,弹药箱,7.62x51mm UN,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/7.62x51mm.png,data/containers/images/loot/2_7.62x51mm_UN.png,1,1,114,100,3,3,0.03,0.03
dyx,弹药箱,12.7x55mm PS12B,5,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12.7x55.png,data/containers/images/loot/5_12.7x55mm_PS12B.png,1,1,5503,100,2,2,0.02,0.02
dyx,弹药箱,5.56x45mm M855A1,4,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.56x45mm.png,data/containers/images/loot/4_5.56x45mm_M855A1.png,1,1,1011,100,2,2,0.02,0.02
dyx,弹药箱,9x39mm SP5,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/9x39.png,data/containers/images/loot/3_9x39mm_SP5.png,1,1,504,100,2,2,0.02,0.02
dyx,弹药箱,6.8x51mm FMJ,4,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/6.8x51.png,data/containers/images/loot/4_6.8x51mm_FMJ.png,1,1,1754,100,2,2,0.02,0.02
dyx,弹药箱,5.45x39mm T,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.45x39.png,data/containers/images/loot/2_5.45x39mm_T.png,1,1,100,100,2,2,0.02,0.02
dyx,弹药箱,5.8x42mm DBP87,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.8x42.png,data/containers/images/loot/2_5.8x42mm_DBP87.png,1,1,94,100,2,2,0.02,0.02
dyx,弹药箱,.45 ACP JHP,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/45-ACP.png,data/containers/images/loot/2_.45_ACP_JHP.png,1,1,111,100,2,2,0.02,0.02
dyx,弹药箱,7.62x39mm T45M,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/7.62x39.png,data/containers/images/loot/2_7.62x39mm_T45M.png,1,1,111,100,2,2,0.02,0.02
dyx,弹药箱,5.8x42mm DVC12,5,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.8x42.png,data/containers/images/loot/5_5.8x42mm_DVC12.png,1,1,4655,100,1,1,0.01,0.01
dyx,弹药箱,5.7x28mm SS197SR,2,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.7x28.png,data/containers/images/loot/2_5.7x28mm_SS197SR.png,1,1,97,100,1,1,0.01,0.01
dyx,弹药箱,4.6x30mm FMJ SX,4,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/4.6x30.png,data/containers/images/loot/4_4.6x30mm_FMJ_SX.png,1,1,1195,100,1,1,0.01,0.01
dyx,弹药箱,5.45x39mm PS,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.45x39.png,data/containers/images/loot/3_5.45x39mm_PS.png,1,1,549,100,1,1,0.01,0.01
dyx,弹药箱,5.56x45mm M855,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.56x45mm.png,data/containers/images/loot/3_5.56x45mm_M855.png,1,1,361,100,1,1,0.01,0.01
dyx,弹药箱,7.62x51mm BPZ,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/7.62x51mm.png,data/containers/images/loot/3_7.62x51mm_BPZ.png,1,1,528,100,1,1,0.01,0.01
dyx,弹药箱,5.56x45mm M995,5,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/5.56x45mm.png,data/containers/images/loot/5_5.56x45mm_M995.png,1,1,4017,100,1,1,0.01,0.01
dyx,弹药箱,12 Gauge 箭形弹,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12-Gauge.png,data/containers/images/loot/3_12_Gauge_箭形弹.png,1,1,553,100,1,1,0.01,0.01
dyx,弹药箱,12.7x55mm PD12双头弹,4,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12.7x55.png,data/containers/images/loot/4_12.7x55mm_PD12双头弹.png,1,1,3067,100,1,1,0.01,0.01
dyx,弹药箱,12 Gauge独头 AP-20,4,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/12-Gauge.png,data/containers/images/loot/4_12_Gauge独头_AP-20.png,1,1,631,100,1,1,0.01,0.01
dyx,弹药箱,4.6x30mm Subsonic SX,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/4.6x30.png,data/containers/images/loot/3_4.6x30mm_Subsonic_SX.png,1,1,612,100,1,1,0.01,0.01
dyx,弹药箱,9x19mm RIP,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/9x19.png,data/containers/images/loot/3_9x19mm_RIP.png,1,1,758,100,1,1,0.01,0.01
dyx,弹药箱,7.62x39mm PS,3,https://playerhub.df.qq.com/playerhub/60004/object/gun/ammo/7.62x39.png,data/containers/images/loot/3_7.62x39mm_PS.png,1,1,596,100,1,1,0.01,0.01
dyx,弹药箱,碳纤维刺骨箭矢,4,https://playerhub.df.qq.com/playerhub/60004/object/37270400001.png,data/containers/images/loot/4_碳纤维刺骨箭矢.png,1,1,1854,100,1,1,0.01,0.01
stx,手提箱,资料：商业文件,3,https://playerhub.df.qq.com/playerhub/60004/object/15070040002.png,data/containers/images/loot/3_资料：商业文件.png,1,1,7561,100,18,18,0.18,0.18
stx,手提箱,军情录音,3,https://playerhub.df.qq.com/playerhub/60004/object/15080050096.png,data/containers/images/loot/3_军情录音.png,1,3,103795,100,16,16,0.16,0.16
stx,手提箱,古怪的海盗银币,3,https://playerhub.df.qq.com/playerhub/60004/object/15080050008.png,data/containers/images/loot/3_古怪的海盗银币.png,1,1,11555,100,15,13,0.15,0.13
stx,手提箱,“起舞的女郎”挂饰,3,https://playerhub.df.qq.com/playerhub/60004/object/15080050012.png,data/containers/images/loot/3_“起舞的女郎”挂饰.png,1,2,16492,100,13,12,0.13,0.12
