item_id,name,level,keycard_type,price,durability,use_map,use_place,place_code,place_name,room_name,containers,container_json,consume_normal,consume_secret,consume_top_secret,single_cost_normal,single_cost_secret,single_cost_top_secret,image_url,local_image_path,room_place_pics,container_image_paths,price_curve_points,data_version
15050500002,生物样本室,6,,5151396,40,潮汐监狱,潮汐监狱-医疗实验区,cxjy,潮汐监狱,生物样本室,保险箱 x1; 航空储物箱 x1; 服务器 x2; 一件衣服 x1,"{""strongBox"":1,""aviationStorageBox"":1,""server"":2,""clothing"":1}",0,0,4,,,515140,https://playerhub.df.qq.com/playerhub/60004/object/15050500002.png,data/keycards/images/keycards/15050500002_生物样本室.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/strongBox_保险箱.webp|data/keycards/images/containers/aviationStorageBox_航空储物箱.webp|data/keycards/images/containers/server_服务器.webp|data/keycards/images/containers/clothing_一件衣服.webp,265,202605231600
15050500004,典狱长收藏室,6,,5723234,40,潮汐监狱,潮汐监狱-典狱长办公室,cxjy,潮汐监狱,典狱长收藏室,保险箱 x2; 小保险箱 x1; 散落物品随机刷新点 x3,"{""strongBox"":2,""smallStrongBox"":1,""scatteredPoint"":3}",0,0,4,,,572323,https://playerhub.df.qq.com/playerhub/60004/object/15050500004.png,data/keycards/images/keycards/15050500004_典狱长收藏室.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/strongBox_保险箱.webp|data/keycards/images/containers/smallStrongBox_小保险箱.webp|data/keycards/images/containers/scatteredPoint_散落物品随机刷新点.webp,265,202605231600
15050500013,三级监狱权限卡,6,,5468571,80,潮汐监狱,潮汐监狱-牢房区,cxjy,潮汐监狱,三级监狱权限卡,一卡多开 x1,"{""openDoorMuilt"":1}",0,0,4,,,273429,https://playerhub.df.qq.com/playerhub/60004/object/15050500013.png,data/keycards/images/keycards/15050500013_三级监狱权限卡.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/openDoorMuilt_一卡多开.webp,265,202605231600
15050500001,监狱审讯室,5,,2321601,40,潮汐监狱,潮汐监狱-狱警工作区,cxjy,潮汐监狱,监狱审讯室,服务器 x1; 保险箱 x1; 电脑机箱 x2,"{""server"":1,""strongBox"":1,""computerCase"":2}",0,0,4,,,232160,https://playerhub.df.qq.com/playerhub/60004/object/15050500001.png,data/keycards/images/keycards/15050500001_监狱审讯室.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/server_服务器.webp|data/keycards/images/containers/strongBox_保险箱.webp|data/keycards/images/containers/computerCase_电脑机箱.webp,265,202605231600
15050500005,人偶影印室,5,,1981714,40,潮汐监狱,潮汐监狱-典狱长办公室,cxjy,潮汐监狱,人偶影印室,工具柜 x1; 保险箱 x1; 散落物品随机刷新点 x3,"{""toolCabinet"":1,""strongBox"":1,""scatteredPoint"":3}",0,0,4,,,198171,https://playerhub.df.qq.com/playerhub/60004/object/15050500005.png,data/keycards/images/keycards/15050500005_人偶影印室.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/toolCabinet_工具柜.webp|data/keycards/images/containers/strongBox_保险箱.webp|data/keycards/images/containers/scatteredPoint_散落物品随机刷新点.webp,265,202605231600
15050500010,水位控制室,5,,2184734,40,潮汐监狱,潮汐监狱-潮汐控制室,cxjy,潮汐监狱,水位控制室,收纳盒 x1; 保险箱 x1; 散落物品随机刷新点 x2,"{""storageBox"":1,""strongBox"":1,""scatteredPoint"":2}",0,0,4,,,218473,https://playerhub.df.qq.com/playerhub/60004/object/15050500010.png,data/keycards/images/keycards/15050500010_水位控制室.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/storageBox_收纳盒.webp|data/keycards/images/containers/strongBox_保险箱.webp|data/keycards/images/containers/scatteredPoint_散落物品随机刷新点.webp,265,202605231600
15050500012,二级监狱权限卡,5,,2646465,100,潮汐监狱,潮汐监狱-牢房区,cxjy,潮汐监狱,二级监狱权限卡,一卡多开 x1,"{""openDoorMuilt"":1}",0,0,4,,,105859,https://playerhub.df.qq.com/playerhub/60004/object/15050500012.png,data/keycards/images/keycards/15050500012_二级监狱权限卡.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/openDoorMuilt_一卡多开.webp,265,202605231600
15050500003,监狱体检室,4,,724277,40,潮汐监狱,潮汐监狱-医疗实验区,cxjy,潮汐监狱,监狱体检室,小保险箱 x1; 高级储物箱 x1; 散落物品随机刷新点 x4,"{""smallStrongBox"":1,""advancedStorageBin"":1,""scatteredPoint"":4}",0,0,4,,,72428,https://playerhub.df.qq.com/playerhub/60004/object/15050500003.png,data/keycards/images/keycards/15050500003_监狱体检室.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/smallStrongBox_小保险箱.webp|data/keycards/images/containers/advancedStorageBin_高级储物箱.webp|data/keycards/images/containers/scatteredPoint_散落物品随机刷新点.webp,265,202605231600
15050500006,顶层办公间,4,,806076,40,潮汐监狱,潮汐监狱-休息区,cxjy,潮汐监狱,顶层办公间,工具柜 x1; 电脑机箱 x1,"{""toolCabinet"":1,""computerCase"":1}",0,0,4,,,80608,https://playerhub.df.qq.com/playerhub/60004/object/15050500006.png,data/keycards/images/keycards/15050500006_顶层办公间.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/toolCabinet_工具柜.webp|data/keycards/images/containers/computerCase_电脑机箱.webp,265,202605231600
15050500007,仓库区监控房,4,,752600,40,潮汐监狱,潮汐监狱-卸货区,cxjy,潮汐监狱,仓库区监控房,小保险箱 x1; 手提箱 x1; 电脑机箱 x1,"{""smallStrongBox"":1,""suitcase"":1,""computerCase"":1}",0,0,4,,,75260,https://playerhub.df.qq.com/playerhub/60004/object/15050500007.png,data/keycards/images/keycards/15050500007_仓库区监控房.png,http://kkrb&kkrb725/example.webp|http://kkrb&kkrb725/example2.webp,data/keycards/images/containers/smallStrongBox_小保险箱.webp|data/keycards/images/containers/suitcase_手提箱.webp|data/keycards/images/containers/computerCase_电脑机箱.webp,265,202605231600
