id,mid,name,sub_name,category,type,type_label,x,y,z,floor,grade,tips,diy,run,show,collect,random,point1,point2,image_url,local_image_path
1131,3,雷斯,[地狱黑鲨]雷斯,boss,Boss,Boss,388873,-600544,,0,6,,酒店-随机刷新,,,,,,,https://oss.orzice.com/sjz/img/ls.png,data/maps/modes/3_长弓溪谷/2_机密/images/1131_雷斯_Boss.png
1132,3,雷斯,[地狱黑鲨]雷斯,boss,Boss,Boss,315436,-609853,,0,6,,雷达站-随机刷新,,,,,,,https://oss.orzice.com/sjz/img/ls.png,data/maps/modes/3_长弓溪谷/2_机密/images/1132_雷斯_Boss.png
2262,3,雷达无人机台,雷达站无人机平台,key_room,key,钥匙房,309330,-608589,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E9%95%BF%E5%BC%93%E6%BA%AA%E8%B0%B7%E9%87%91%E5%8D%A1.png,data/maps/modes/3_长弓溪谷/2_机密/images/2262_雷达无人机台_key.png
2263,3,酒店国王房,,key_room,key,钥匙房,387591,-596437,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E9%95%BF%E5%BC%93%E6%BA%AA%E8%B0%B7%E9%87%91%E5%8D%A1.png,data/maps/modes/3_长弓溪谷/2_机密/images/2263_酒店国王房_key.png
2264,3,刷卡点,,rare_card_spawn,hong,刷红点,288487,-648038,,0,6,,变电站服务器室内部机箱房 机箱上方桌子上会刷新钥匙卡 (来自贴吧：雪梨飞包),,,,,,,https://oss.orzice.com/sjz/img/key/db_2.png,data/maps/modes/3_长弓溪谷/2_机密/images/2264_刷卡点_hong.png
2265,3,刷大红点,,rare_card_spawn,hong,刷红点,313494,-604780,,0,6,,桌子上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15200000034.png,data/maps/modes/3_长弓溪谷/2_机密/images/2265_刷大红点_hong.png
2266,3,香槟,奥莉薇娅香槟,rare_card_spawn,hong,刷红点,361986,-694961,,0,6,,桌子上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15060080015.png,data/maps/modes/3_长弓溪谷/2_机密/images/2266_香槟_hong.png
2267,3,香槟,奥莉薇娅香槟,rare_card_spawn,hong,刷红点,361471,-694826,,0,6,,桌子上可能会刷新,,,小镇餐厅,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15060080015.png,data/maps/modes/3_长弓溪谷/2_机密/images/2267_香槟_hong.png
2268,3,香槟,奥莉薇娅香槟,rare_card_spawn,hong,刷红点,364337,-696690,,0,6,,桌子上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15060080015.png,data/maps/modes/3_长弓溪谷/2_机密/images/2268_香槟_hong.png
2269,3,军用炮弹,,rare_card_spawn,hong,刷红点,268797,-613697,,0,6,,箱子上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15030050017.png,data/maps/modes/3_长弓溪谷/2_机密/images/2269_军用炮弹_hong.png
2270,3,军用无人机,,rare_card_spawn,hong,刷红点,263065,-618033,,0,6,,地上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15030050002.png,data/maps/modes/3_长弓溪谷/2_机密/images/2270_军用无人机_hong.png
2271,3,军用炮弹,,rare_card_spawn,hong,刷红点,267611,-618522,,0,6,,凳子上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15030050017.png,data/maps/modes/3_长弓溪谷/2_机密/images/2271_军用炮弹_hong.png
2272,3,飞行记录仪,,rare_card_spawn,hong,刷红点,390181,-637351,,0,6,,坠机前翼区三层鸟窝旁，可能会刷新,,,坠机事件,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15030050014.png,data/maps/modes/3_长弓溪谷/2_机密/images/2272_飞行记录仪_hong.png
2273,3,刷大红点,,rare_card_spawn,hong,刷红点,321845,-619849,,0,6,,地上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15200000034.png,data/maps/modes/3_长弓溪谷/2_机密/images/2273_刷大红点_hong.png
2274,3,军用炮弹,,rare_card_spawn,hong,刷红点,321742,-609320,,0,6,,地上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15030050017.png,data/maps/modes/3_长弓溪谷/2_机密/images/2274_军用炮弹_hong.png
2275,3,刷大红点,,rare_card_spawn,hong,刷红点,321742,-609320,,0,6,,地上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15200000034.png,data/maps/modes/3_长弓溪谷/2_机密/images/2275_刷大红点_hong.png
2276,3,军用无人机,,rare_card_spawn,hong,刷红点,323670,-609556,,0,6,,地上可能会刷新,,,实验楼资料室,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15030050002.png,data/maps/modes/3_长弓溪谷/2_机密/images/2276_军用无人机_hong.png
2277,3,香槟,奥莉薇娅香槟,rare_card_spawn,hong,刷红点,347497,-695231,,0,6,,船上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15060080015.png,data/maps/modes/3_长弓溪谷/2_机密/images/2277_香槟_hong.png
2278,3,刷大红点,,rare_card_spawn,hong,刷红点,313437,-610609,,0,6,,一楼入口左右围栏地上可能会刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15200000034.png,data/maps/modes/3_长弓溪谷/2_机密/images/2278_刷大红点_hong.png
