id,mid,name,sub_name,category,type,type_label,x,y,z,floor,grade,tips,diy,run,show,collect,random,point1,point2,image_url,local_image_path
2311,4,刷卡点,,rare_card_spawn,hong,刷红点,342964,-508140,,0,6,,一楼桌子刷卡,,,,,,,https://oss.orzice.com/sjz/img/key/db_2.png,data/maps/images/icons/db_2_dcdc53346b.png
2313,4,非洲之心,,rare_card_spawn,hong,刷红点,348034,-513004,,0,6,,一楼的花坛上刷心,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2314,4,刷卡点,,rare_card_spawn,hong,刷红点,332650,-503217,,0,6,,一楼桌子刷卡,,,,,,,https://oss.orzice.com/sjz/img/key/db_2.png,data/maps/images/icons/db_2_dcdc53346b.png
2315,4,非洲之心,,rare_card_spawn,hong,刷红点,331835,-504924,,0,6,,二楼最里面的玻璃展柜里刷心,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2316,4,刷卡点,,rare_card_spawn,hong,刷红点,335044,-505162,,0,6,,二楼桌子刷卡,,,,,,,https://oss.orzice.com/sjz/img/key/db_2.png,data/maps/images/icons/db_2_dcdc53346b.png
2317,4,非洲之心,,rare_card_spawn,hong,刷红点,344775,-425101,,0,6,,中间玻璃展柜刷新 ,,,地下金库储藏间,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2318,4,非洲之心,,rare_card_spawn,hong,刷红点,346462,-425025,,0,6,,中间玻璃展柜刷新 ,,,地下金库储藏间,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2319,4,非洲之心,,rare_card_spawn,hong,刷红点,346532,-424289,,0,6,,中间玻璃展柜刷新 ,,,地下金库储藏间,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2320,4,地下金库,地下金库储藏间,key_room,key,钥匙房,348032,-425927,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1.png,data/maps/images/icons/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1_ec052ffe68.png
2321,4,总裁会议室,,key_room,key,钥匙房,348787,-402410,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1.png,data/maps/images/icons/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1_ec052ffe68.png
2322,4,旅店用餐间,,key_room,key,钥匙房,335166,-502472,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E7%99%BD%E5%8D%A1.png,data/maps/images/icons/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E7%99%BD%E5%8D%A1_5673a649bc.png
2323,4,老浴场贵宾,老浴场贵宾室,key_room,key,钥匙房,346260,-515747,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1.png,data/maps/images/icons/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1_ec052ffe68.png
2324,4,博物馆展厅,博物馆展厅套间,key_room,key,钥匙房,341693,-494982,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E7%99%BD%E5%8D%A1.png,data/maps/images/icons/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E7%99%BD%E5%8D%A1_5673a649bc.png
2340,4,非洲之心,,rare_card_spawn,hong,刷红点,344773,-495423,,0,6,,二楼大保险旁边玻璃展柜刷心,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2341,4,非洲之心,,rare_card_spawn,hong,刷红点,340145,-494739,,0,6,,二楼小保险旁边房展柜刷心,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2342,4,非洲之心,,rare_card_spawn,hong,刷红点,347251,-425223,,0,6,,最里面展柜台子正中心，可能刷新,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2343,4,刷卡点,,rare_card_spawn,hong,刷红点,343536,-495357,,0,6,,靠近废弃展厅的入口处的桌子上刷卡 (来自贴吧：雪梨飞包),,,,,,,https://oss.orzice.com/sjz/img/key/db_2.png,data/maps/images/icons/db_2_dcdc53346b.png
2344,4,非洲之心,,rare_card_spawn,hong,刷红点,348787,-402410,,0,6,,桌子上可能刷新,,,总裁会议室,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2345,4,总裁会议室,,key_room,key,钥匙房,349197,-402410,,0,6,,-,,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/key/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1.png,data/maps/images/icons/p_%E5%B7%B4%E5%85%8B%E4%BB%80%E9%87%91%E5%8D%A1_ec052ffe68.png
2346,4,非洲之心,,rare_card_spawn,hong,刷红点,349197,-402410,,0,6,,桌子上可能刷新,,,总裁会议室,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050006.png,data/maps/images/icons/p_15080050006_cef557bd96.png
2347,4,刷卡点,,rare_card_spawn,hong,刷红点,347417,-494953,,0,6,,左厅底下有手提箱的桌子上刷卡 (来自贴吧：雪梨飞包),,,,,,,https://oss.orzice.com/sjz/img/key/db_2.png,data/maps/images/icons/db_2_dcdc53346b.png
2348,4,纵横,,rare_card_spawn,hong,刷红点,345789,-457234,,0,6,,海洋区总裁办公室外部的跑步机上会刷新三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050123.png,data/maps/images/icons/p_15080050123_9bdd7b159a.png
2349,4,天圆地方,,rare_card_spawn,hong,刷红点,345789,-457234,,0,6,,海洋区总裁办公室外部的跑步机上会刷新三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050122.png,data/maps/images/icons/p_15080050122_a08ea6c043.png
2350,4,万金泪冠,,rare_card_spawn,hong,刷红点,345789,-457234,,0,6,,海洋区总裁办公室外部的跑步机上会刷新三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050121.png,data/maps/images/icons/p_15080050121_132195a183.png
2351,4,纵横,,rare_card_spawn,hong,刷红点,342647,-405421,,0,6,,1号审讯室对面的小保险房上的沙发会刷新三件套(来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050123.png,data/maps/images/icons/p_15080050123_9bdd7b159a.png
2352,4,天圆地方,,rare_card_spawn,hong,刷红点,342647,-405421,,0,6,,1号审讯室对面的小保险房上的沙发会刷新三件套(来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050122.png,data/maps/images/icons/p_15080050122_a08ea6c043.png
2353,4,万金泪冠,,rare_card_spawn,hong,刷红点,342647,-405421,,0,6,,1号审讯室对面的小保险房上的沙发会刷新三件套(来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050121.png,data/maps/images/icons/p_15080050121_132195a183.png
2354,4,纵横,,rare_card_spawn,hong,刷红点,350113,-404543,,0,6,,塔顶有登山包的休息台沙发上会刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050123.png,data/maps/images/icons/p_15080050123_9bdd7b159a.png
2355,4,天圆地方,,rare_card_spawn,hong,刷红点,350113,-404543,,0,6,,塔顶有登山包的休息台沙发上会刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050122.png,data/maps/images/icons/p_15080050122_a08ea6c043.png
2356,4,万金泪冠,,rare_card_spawn,hong,刷红点,350113,-404543,,0,6,,塔顶有登山包的休息台沙发上会刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050121.png,data/maps/images/icons/p_15080050121_132195a183.png
2357,4,纵横,,rare_card_spawn,hong,刷红点,348533,-396052,,0,6,,两侧沙发会刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050123.png,data/maps/images/icons/p_15080050123_9bdd7b159a.png
2358,4,天圆地方,,rare_card_spawn,hong,刷红点,348533,-396052,,0,6,,两侧沙发会刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050122.png,data/maps/images/icons/p_15080050122_a08ea6c043.png
2359,4,万金泪冠,,rare_card_spawn,hong,刷红点,348533,-396052,,0,6,,两侧沙发会刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050121.png,data/maps/images/icons/p_15080050121_132195a183.png
2360,4,纵横,,rare_card_spawn,hong,刷红点,348366,-394208,,0,6,,飞鼠撤前面的两个沙发刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050123.png,data/maps/images/icons/p_15080050123_9bdd7b159a.png
2361,4,天圆地方,,rare_card_spawn,hong,刷红点,348366,-394208,,0,6,,飞鼠撤前面的两个沙发刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050122.png,data/maps/images/icons/p_15080050122_a08ea6c043.png
2362,4,万金泪冠,,rare_card_spawn,hong,刷红点,348366,-394208,,0,6,,飞鼠撤前面的两个沙发刷三件套 (来自贴吧：雪梨飞包),,,,,,,https://playerhub.df.qq.com/playerhub/60004/object/p_15080050121.png,data/maps/images/icons/p_15080050121_132195a183.png
